month,miles
Jan-64,7.269
Feb-64,6.775
Mar-64,7.819
Apr-64,8.371
May-64,9.069
Jun-64,10.248
Jul-64,11.03
Aug-64,10.882
Sep-64,10.333
Oct-64,9.109
Nov-64,7.685
Dec-64,7.682
Jan-65,8.35
Feb-65,7.829
Mar-65,8.829
Apr-65,9.948
May-65,10.638
Jun-65,11.253
Jul-65,11.424
Aug-65,11.391
Sep-65,10.665
Oct-65,9.396
Nov-65,7.775
Dec-65,7.933
Jan-66,8.186
Feb-66,7.444
Mar-66,8.484
Apr-66,9.864
May-66,10.252
Jun-66,12.282
Jul-66,11.637
Aug-66,11.577
Sep-66,12.417
Oct-66,9.637
Nov-66,8.094
Dec-66,9.28
Jan-67,8.334
Feb-67,7.899
Mar-67,9.994
Apr-67,10.078
May-67,10.801
Jun-67,12.953
Jul-67,12.222
Aug-67,12.246
Sep-67,13.281
Oct-67,10.366
Nov-67,8.73
Dec-67,9.614
Jan-68,8.639
Feb-68,8.772
Mar-68,10.894
Apr-68,10.455
May-68,11.179
Jun-68,10.588
Jul-68,10.794
Aug-68,12.77
Sep-68,13.812
Oct-68,10.857
Nov-68,9.29
Dec-68,10.925
Jan-69,9.491
Feb-69,8.919
Mar-69,11.607
Apr-69,8.852
May-69,12.537
Jun-69,14.759
Jul-69,13.667
Aug-69,13.731
Sep-69,15.11
Oct-69,12.185
Nov-69,10.645
Dec-69,12.161
Jan-70,10.84
Feb-70,10.436
Mar-70,13.589
Apr-70,13.402
May-70,13.103
Jun-70,14.933
Jul-70,14.147
Aug-70,14.057
Sep-70,16.234
Oct-70,12.389
Nov-70,11.594
Dec-70,12.772
